Fill,Fill Start,Fill End,Energy [GeV],Filling Scheme,Stable B. time [h],Turnaround time [h],Injection time [h],Ramp time [h],Particle B1,Particle B2,# Bunches B1,# Bunches B2,# Coll. IP 1/5,# Coll. IP 2,# Coll. IP 8,beta* IP 1 [m],beta* IP 5 [m],beta* IP 2 [m],beta* IP 8 [m],Xing Angle IP 1 [urad],Xing Angle IP 5 [urad],Xing Angle IP 2 [urad],Xing Angle IP 8 [urad],Spectrometer IP 2 [urad],Spectrometer IP 8 [urad],Intensity B1 [1e11 ppb],Intensity B2 [1e11 ppb],Bnch Len B1 [ns],Bnch Len B2 [ns],Emittance B1 H [um],Emittance B1 V [um],Emittance B2 H [um],Emittance B2 V [um],ATLAS Peak Lumi [Hz/ub],CMS Peak Lumi [Hz/ub],ALICE Peak Lumi [Hz/ub],LHCb Peak Lumi [Hz/ub],Lumi Lifetime Start [h],Lumi Lifetime End [h],ATLAS Int. Lumi [1/nb],CMS Int. Lumi [1/nb],ALICE Int. Lumi [1/nb],LHCb Int. Lumi [1/nb]
10357,1731415262000,1731419263000,5042.52,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10356,1731384474000,1731415262000,6799.56,50ns_1240b_1032_1032_557_56bpi_PbPb,5.769167000000000,2.6605560000000001,1.6722220000000001,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.13685900000000001,0.140321000000000,0.00000000000000000000,0.00000000000000000000,2.2912270000000001,1.914483000000000,2.2559499999999999,1.739470000000000,0.005908000000000000,0.006006000000000000,0.006374000000000000,0.0013720000000000000,11182.361980000000,18131.336173000000,0.0602590000000000,0.05912300000000000,0.06623800000000001,0.01619500000000000
10355,1731352576000,1731384474000,6799.56,50ns_1240b_1032_1032_557_56bpi_PbPb,6.224167000000000,10.688056000000000,1.6377780000000000,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.13267699999999999,0.13318500000000000,0.00000000000000000000,0.00000000000000000000,2.316133000000000,1.9394410000000000,2.3478020000000002,1.821484000000000,0.005351000000000000,0.005620000000000000,0.005989000000000000,0.0011980000000000001,11855.823625000001,15787.294080000000,0.058830000000000000,0.0575560000000000,0.06398600000000000,0.015521999999999999
10354,1731342172000,1731352576000,6799.32,,0,0,1.6513890000000000,0.35583300000000001,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,0.0000000000000000000,0.00000000000000000000,2.3404050000000001,1.8493200000000001,2.4636640000000001,1.823825000000000,0.0006440000000000000,0.00116000000000000,0.0009859999999999999,0.000005000000000000000,,,0,0,,0
10353,1731338947000,1731342172000,3565.8,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10352,1731337748000,1731338947000,0.12,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10351,1731325044000,1731337748000,59.28,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10350,1731305695000,1731325044000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,2.1702780000000002,3.0683330000000000,1.9105559999999999,0.35555599999999998,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.1396210000000000,0.14167600000000000,0.00000000000000000000,0.00000000000000000000,2.350621000000000,1.891476000000000,2.3602970000000001,1.815325000000000,0.005995000000000000,0.006218000000000000,0.006375000000000000,0.001381000000000000,11140.463467000000,11140.463467000000,0.03380700000000000,0.033968999999999999,0.03684800000000000,0.00803700000000000
10349,1731292333000,1731305695000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,0.6197220000000000,2.9394439999999999,1.8605560000000001,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.14169100000000001,0.13460400000000000,0.00000000000000000000,0.00000000000000000000,2.336945000000000,1.956709000000000,2.4949560000000002,1.8533820000000001,0.005636000000000000,0.005977000000000000,0.006325000000000000,0.0011169999999999999,2221.7942020000000,2221.7942020000000,0.010718000000000000,0.010954000000000000,0.011596000000000000,0.0021240000000000000
10348,1731260548000,1731292333000,6799.56,50ns_1240b_1032_1032_557_56bpi_PbPb,4.823056000000000,6.8805560000000003,2.6327780000000001,0.3552780000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.1225980000000000,0.12093600000000000,0.00000000000000000000,0.00000000000000000000,2.606670000000000,2.1957890000000000,2.646596000000000,2.0291419999999998,0.0039920000000000,0.0042470000000000,0.004533000000000000,0.0008970000000000000,15118.69648600000,19212.835842000000,0.04480400000000000,0.04303700000000000,0.04750900000000000,0.010326000000000000
